id,emailid,requesttime,port,browser,packet
1,Cuchta,1548793538,51385,Mozilla/5.0 (Windows NT 6.1; rv:64.0) Gecko/20100101 Firefox/64.0,P1
2,Caleb365,1548793549,50424,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",P1
3,kdaniels,1548795379,49261,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",P1
4,kdaniels,1548795387,49266,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",P1
5,Caleb365,1548802564,8685,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.2 (KHTML, like Gecko) Chrome/22.0.1216.0 Safari/537.2",P1
6,mattnsnap,1548817105,64556,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P6
7,,1548884866,60278,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0,
8,RyanAGAIN,1548884899,60281,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0,P10
9,em26554,1548899376,8029,Mozilla/5.0 (Android 8.0.0; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,P10
10,em26554,1548899389,3647,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935P Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 Snapchat/10.49.0.0 (SM-G935P; Android 8.0.0#G935PVPS8CSA1#26; gzip)",P10
11,em26554,1548899389,59645,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
12,em26554,1548899391,59645,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
13,em26554,1548899402,45845,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
14,em26554,1548899474,39674,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935P Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 Snapchat/10.49.0.0 (SM-G935P; Android 8.0.0#G935PVPS8CSA1#26; gzip)",P10
15,em26554,1548899474,57214,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
16,em26554,1548899478,41341,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
17,em26554,1548899496,14741,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935P Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 Snapchat/10.49.0.0 (SM-G935P; Android 8.0.0#G935PVPS8CSA1#26; gzip)",P10
18,em26554,1548899527,17849,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935P Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 Snapchat/10.49.0.0 (SM-G935P; Android 8.0.0#G935PVPS8CSA1#26; gzip)",P10
19,em26554,1548899527,40049,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
20,em26554,1548899533,42847,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
21,em26554,1548899582,28007,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G935P Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 Snapchat/10.49.0.0 (SM-G935P; Android 8.0.0#G935PVPS8CSA1#26; gzip)",P10
22,em26554,1548899582,40897,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
23,em26554,1548899583,54718,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P10
24,em26554,1548899597,43230,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G950U Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/72.0.3626.76 Mobile Safari/537.36 Snapchat/10.49.0.0 (SM-G950U; Android 8.0.0#G950USQU5CSA4#26; gzip)",P10
25,,1548962663,58620,Mozilla/5.0 (Android 8.0.0; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,
26,sitecheck,1548993708,4082,Mozilla/5.0 (Android 8.0.0; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,P120
27,mattnsnap,1549051044,50995,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P6
28,studio,1549061969,52001,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",P10
29,,1549073256,56949,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0,
30,,1549073284,56975,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0,
31,mattnsnap,1549164974,40476,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P6
32,saturdaytest,1549172474,61778,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,P10
33,testforryan,1549222917,42995,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,P999
34,testforryan,1549228445,49675,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,P999
35,testforryan,1549228452,13247,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,P999
36,testforryan,1549228456,13247,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,P999
37,testforryan,1549228463,32391,Mozilla/5.0 (Android 8.0.0; Mobile; rv:65.0) Gecko/65.0 Firefox/65.0,P999
38,mattnsnap,1549253558,60140,AppEngine-Google; (+http://code.google.com/appengine; appid: s~snapchat-proxy),P6
39,rstepCannon1,1549255056,61661,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,P1
40,rstepCannon1,1549255972,61779,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,P1
41,,1549269244,45806,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",
42,a876e5a4-b786-44a0-9e79-76e2b126a8d4,1549269488,62324,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,P1
43,,1549279215,49672,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",
44,9992467d-69ed-4cdc-a563-f74212530207,1549279554,51105,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",P2
45,9992467d-69ed-4cdc-a563-f74212530207,1549279597,48736,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",P2
46,358882dd-99c3-49c8-ad33-e544de7e3dbf,1549280149,4451,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",P2
47,358882dd-99c3-49c8-ad33-e544de7e3dbf,1549280149,4451,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",P2
